conformer_id,energy_in_kcalpermol,rel_energy_in_kcalpermol,rel_energy_in_kJpermol,cluster_id
2,1.4674221391036253,0.4553545547988178,1.905203457278254,2
4,1.4674221390594515,0.45535455475464404,1.9052034570934306,3
18,1.0120675843048075,0.0,0.0,10
23,2.155481067362935,1.1434134830581277,4.784042013115207,4
43,1.1177706983624953,0.10570311405768784,0.44226182921736595,7
58,1.6725696080368888,0.6605020237320813,2.7635404672950283,5
61,1.341576900080517,0.32950931577570963,1.378666977205569,6
63,1.6725696077109555,0.660502023406148,2.7635404659313236,1
79,1.012067584412493,1.0768541613970228e-10,4.5055578112851435e-10,8
80,1.3415768999847886,0.3295093156799811,1.378666976805041,9
