pairwise_RMSD
0.66
0.6
0.6
0.66
0.66
0.66
0.6
0.66
0.6
0.66
0.97
0.6
0.66
0.0
0.66
0.66
0.97
0.6
0.6
0.6
0.66
0.6
0.02
0.66
0.66
0.6
0.66
0.6
0.66
0.6
0.01
0.6
0.6
0.66
0.98
0.6
0.6
0.6
0.66
0.02
0.98
0.66
0.66
0.6
0.66
0.98
0.66
0.66
0.6
0.6
0.6
0.98
0.6
0.01
0.66
0.66
0.66
0.0
0.6
0.6
0.66
0.6
0.98
0.66
0.97
0.66
0.98
0.6
0.6
0.66
0.66
0.01
0.6
0.01
0.6
0.6
0.66
0.66
0.66
0.6
0.66
0.01
0.01
0.66
0.66
0.66
0.6
0.6
0.66
0.01
0.66
0.01
0.98
0.98
0.66
0.66
0.01
0.6
0.6
0.42
0.82
0.0
0.0
0.0
0.82
0.67
0.82
0.69
0.6
0.82
0.69
0.66
0.01
0.69
0.59
0.82
0.82
0.42
0.69
0.82
0.64
0.69
0.69
0.81
0.69
0.82
0.01
0.42
0.66
0.81
0.81
0.67
0.6
0.42
0.82
0.42
0.69
0.64
0.6
0.69
0.69
0.82
0.01
0.6
0.0
0.0
0.82
0.42
0.42
0.6
0.81
0.66
0.01
0.0
0.01
0.66
0.42
0.82
0.67
0.82
0.6
0.01
0.6
0.69
0.6
0.42
0.81
0.0
0.69
0.66
0.42
0.66
0.82
0.42
0.01
0.69
0.69
0.81
0.01
0.66
0.66
0.01
0.0
0.69
0.81
0.42
0.0
0.66
0.69
0.66
0.6
0.6
0.01
0.69
0.66
0.42
0.42
0.69
0.42
0.42
0.42
0.69
0.81
0.69
0.82
0.66
0.69
0.82
0.6
0.42
0.82
0.64
0.69
0.69
0.01
0.82
0.69
0.59
0.82
0.82
0.67
0.82
0.69
0.42
0.01
0.6
0.67
0.67
0.81
0.66
0.0
0.69
0.01
0.82
0.59
0.66
0.82
0.82
0.69
0.42
0.66
0.42
0.42
0.69
0.01
0.0
0.66
0.67
0.6
0.42
0.42
0.42
0.6
0.01
0.69
0.81
0.69
0.66
0.42
0.66
0.82
0.66
0.0
0.67
0.42
0.82
0.6
0.0
0.6
0.69
0.01
0.42
0.82
0.82
0.67
0.42
0.6
0.6
0.42
0.42
0.82
0.67
0.0
0.42
0.6
0.82
0.6
0.66
0.66
0.42
0.82
0.6
0.01
0.01
0.82
0.82
0.82
0.01
0.43
0.01
0.42
0.66
0.01
0.42
0.6
0.81
0.42
